name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","63.0","2014 est.","1","Africa"
"Namibia","namibia","59.1","2015 est.","2","Africa"
"Zambia","zambia","57.1","2015 est.","3","Africa"
"Central African Republic","central-african-republic","56.2","2008 est.","4","Africa"
"Eswatini","eswatini","54.6","2016 est.","5","Africa"
"Colombia","colombia","54.2","2020 est.","6","South America"
"Mozambique","mozambique","54.0","2014 est.","7","Africa"
"Hong Kong","hong-kong","53.9","2016 est.","8","East and Southeast Asia"
"Botswana","botswana","53.3","2015 est.","9","Africa"
"Angola","angola","51.3","2018 est.","10","Africa"
"Saint Lucia","saint-lucia","51.2","2016 est.","11","Central America and the Caribbean"
"Zimbabwe","zimbabwe","50.3","2020 est.","12","Africa"
"Panama","panama","49.8","2019 est.","13","Central America and the Caribbean"
"Costa Rica","costa-rica","49.3","2020 est.","14","Central America and the Caribbean"
"Brazil","brazil","48.9","2020 est.","15","South America"
"Congo, Republic of the","congo-republic-of-the","48.9","2011 est.","16","Africa"
"Guatemala","guatemala","48.3","2014 est.","17","Central America and the Caribbean"
"Honduras","honduras","48.2","2019 est.","18","Central America and the Caribbean"
"Burkina Faso","burkina-faso","47.3","2018 est.","19","Africa"
"Ecuador","ecuador","47.3","2020 est.","20","South America"
"Cameroon","cameroon","46.6","2014 est.","21","Africa"
"Nicaragua","nicaragua","46.2","2014 est.","22","Central America and the Caribbean"
"Saudi Arabia","saudi-arabia","45.9","2013 est.","23","Middle East"
"Singapore","singapore","45.9","2017","24","East and Southeast Asia"
"Mexico","mexico","45.4","2020 est.","25","North America"
"Comoros","comoros","45.3","2014 est.","26","Africa"
"Chile","chile","44.9","2020 est.","27","South America"
"Lesotho","lesotho","44.9","2017 est.","28","Africa"
"Guyana","guyana","44.6","2007 est.","29","South America"
"South Sudan","south-sudan","44.1","2016 est.","30","Africa"
"Peru","peru","43.8","2020 est.","31","South America"
"Rwanda","rwanda","43.7","2016 est.","32","Africa"
"Bolivia","bolivia","43.6","2020 est.","33","South America"
"Ghana","ghana","43.5","2016 est.","34","Africa"
"Paraguay","paraguay","43.5","2020 est.","35","South America"
"Uganda","uganda","42.7","2019 est.","36","Africa"
"Madagascar","madagascar","42.6","2012 est.","37","Africa"
"Cabo Verde","cabo-verde","42.4","2015 est.","38","Africa"
"Togo","togo","42.4","2018 est.","39","Africa"
"Argentina","argentina","42.3","2020 est.","40","South America"
"Philippines","philippines","42.3","2018 est.","41","East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","42.1","2012 est.","42","Africa"
"Papua New Guinea","papua-new-guinea","41.9","2009 est.","43","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","41.9","2019 est.","44","Middle East"
"Djibouti","djibouti","41.6","2017 est.","45","Africa"
"United States","united-states","41.5","2019 est.","46","North America"
"Haiti","haiti","41.1","2012 est.","47","Central America and the Caribbean"
"Malaysia","malaysia","41.1","2015 est.","48","East and Southeast Asia"
"Qatar","qatar","41.1","2007 est.","49","Middle East"
"Iran","iran","40.9","2019 est.","50","Middle East"
"Kenya","kenya","40.8","2015 est.","51","Africa"
"Turkmenistan","turkmenistan","40.8","1998 est.","52","Central Asia"
"Sao Tome and Principe","sao-tome-and-principe","40.7","2017 est.","53","Africa"
"Tanzania","tanzania","40.5","2017 est.","54","Africa"
"Bulgaria","bulgaria","40.3","2019 est.","55","Europe"
"Uruguay","uruguay","40.2","2020 est.","56","South America"
"Micronesia, Federated States of","micronesia-federated-states-of","40.1","2013 est.","57","Australia and Oceania"
"Dominican Republic","dominican-republic","39.6","2020 est.","58","Central America and the Caribbean"
"Morocco","morocco","39.5","2013 est.","59","Africa"
"Sri Lanka","sri-lanka","39.3","2016 est.","60","South Asia"
"Tuvalu","tuvalu","39.1","2010 est.","61","Australia and Oceania"
"Venezuela","venezuela","39.0","2011 est.","62","South America"
"El Salvador","el-salvador","38.8","2019 est.","63","Central America and the Caribbean"
"Laos","laos","38.8","2018 est.","64","East and Southeast Asia"
"Samoa","samoa","38.7","2013 est.","65","Australia and Oceania"
"Burundi","burundi","38.6","2013 est.","66","Africa"
"Israel","israel","38.6","2018 est.","67","Middle East"
"Malawi","malawi","38.5","2019 est.","68","Africa"
"China","china","38.2","2019 est.","69","East and Southeast Asia"
"Senegal","senegal","38.1","2018 est.","70","Africa"
"Gabon","gabon","38.0","2017 est.","71","Africa"
"Cambodia","cambodia","37.9","2008 est.","72","East and Southeast Asia"
"Indonesia","indonesia","37.9","2021 est.","73","East and Southeast Asia"
"Benin","benin","37.8","2018 est.","74","Africa"
"Tonga","tonga","37.6","2015 est.","75","Australia and Oceania"
"Chad","chad","37.5","2018 est.","76","Africa"
"Bhutan","bhutan","37.4","2017 est.","77","South Asia"
"Niger","niger","37.3","2018 est.","78","Africa"
"Cote d'Ivoire","cote-divoire","37.2","2018 est.","79","Africa"
"Solomon Islands","solomon-islands","37.1","2013 est.","80","Australia and Oceania"
"Mauritius","mauritius","36.8","2017 est.","81","Africa"
"Montenegro","montenegro","36.8","2018 est.","82","Europe"
"Somalia","somalia","36.8","2017 est.","83","Africa"
"Uzbekistan","uzbekistan","36.8","2003 est.","84","Central Asia"
"Yemen","yemen","36.7","2014 est.","85","Middle East"
"New Zealand","new-zealand","36.2","1997","86","Australia and Oceania"
"Mali","mali","36.1","2018 est.","87","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","36.0","2015","88","South America"
"Russia","russia","36.0","2020 est.","89","Central Asia"
"Gambia, The","gambia-the","35.9","2015 est.","90","Africa"
"India","india","35.7","2019 est.","91","South Asia"
"Sierra Leone","sierra-leone","35.7","2018 est.","92","Africa"
"Vietnam","vietnam","35.7","2018 est.","93","East and Southeast Asia"
"Marshall Islands","marshall-islands","35.5","2019 est.","94","Australia and Oceania"
"Liberia","liberia","35.3","2016 est.","95","Africa"
"Lithuania","lithuania","35.3","2019 est.","96","Europe"
"Italy","italy","35.2","2018 est.","97","Europe"
"Nigeria","nigeria","35.1","2018 est.","98","Africa"
"United Kingdom","united-kingdom","35.1","2017 est.","99","Europe"
"Ethiopia","ethiopia","35.0","2015 est.","100","Africa"
"Jamaica","jamaica","35.0","2016 est.","101","Central America and the Caribbean"
"Macau","macau","35.0","2013 est.","102","East and Southeast Asia"
"Thailand","thailand","35.0","2020 est.","103","East and Southeast Asia"
"Guinea-Bissau","guinea-bissau","34.8","2018 est.","104","Africa"
"Nauru","nauru","34.8","2012 est.","105","Australia and Oceania"
"Romania","romania","34.8","2019 est.","106","Europe"
"Georgia","georgia","34.5","2020 est.","107","Middle East"
"Latvia","latvia","34.5","2019 est.","108","Europe"
"Serbia","serbia","34.5","2019 est.","109","Europe"
"Australia","australia","34.3","2018 est.","110","Australia and Oceania"
"Spain","spain","34.3","2019 est.","111","Europe"
"Luxembourg","luxembourg","34.2","2019 est.","112","Europe"
"Sudan","sudan","34.2","2014 est.","113","Africa"
"Tajikistan","tajikistan","34.0","2015 est.","114","Central Asia"
"Greenland","greenland","33.9","2015 est.","115","North America"
"Azerbaijan","azerbaijan","33.7","2008","116","Middle East"
"Gaza Strip","gaza-strip","33.7","2016 est.","117","Middle East"
"Jordan","jordan","33.7","2010 est.","118","Middle East"
"West Bank","west-bank","33.7","2016 est.","119","Middle East"
"Taiwan","taiwan","33.6","2014","120","East and Southeast Asia"
"Canada","canada","33.3","2017 est.","121","North America"
"Greece","greece","33.1","2019 est.","122","Europe"
"Switzerland","switzerland","33.1","2018 est.","123","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33.0","2011 est.","124","Europe"
"North Macedonia","north-macedonia","33.0","2018 est.","125","Europe"
"Japan","japan","32.9","2013 est.","126","East and Southeast Asia"
"Nepal","nepal","32.8","2010 est.","127","South Asia"
"Portugal","portugal","32.8","2019 est.","128","Europe"
"Tunisia","tunisia","32.8","2015 est.","129","Africa"
"Mongolia","mongolia","32.7","2018 est.","130","East and Southeast Asia"
"Mauritania","mauritania","32.6","2014 est.","131","Africa"
"Bangladesh","bangladesh","32.4","2016 est.","132","South Asia"
"France","france","32.4","2018 est.","133","Europe"
"Vanuatu","vanuatu","32.3","2019 est.","134","Australia and Oceania"
"Seychelles","seychelles","32.1","2018 est.","135","Africa"
"Lebanon","lebanon","31.8","2011 est.","136","Middle East"
"Germany","germany","31.7","2018 est.","137","Europe"
"Egypt","egypt","31.5","2017 est.","138","Africa"
"Korea, South","korea-south","31.4","2016 est.","139","East and Southeast Asia"
"Cyprus","cyprus","31.2","2019 est.","140","Europe"
"Malta","malta","31.0","2019 est.","141","Europe"
"Albania","albania","30.8","2019 est.","142","Europe"
"Estonia","estonia","30.8","2019 est.","143","Europe"
"Burma","burma","30.7","2017 est.","144","East and Southeast Asia"
"Fiji","fiji","30.7","2019 est.","145","Australia and Oceania"
"Ireland","ireland","30.6","2018 est.","146","Europe"
"Austria","austria","30.2","2019 est.","147","Europe"
"Poland","poland","30.2","2018 est.","148","Europe"
"Hungary","hungary","30.0","2019 est.","149","Europe"
"Guinea","guinea","29.6","2018 est.","150","Africa"
"Pakistan","pakistan","29.6","2018 est.","151","South Asia"
"Iraq","iraq","29.5","2012 est.","152","Middle East"
"Afghanistan","afghanistan","29.4","2008","153","South Asia"
"Maldives","maldives","29.3","2019 est.","154","South Asia"
"Sweden","sweden","29.3","2019 est.","155","Europe"
"Netherlands","netherlands","29.2","2019 est.","156","Europe"
"Kosovo","kosovo","29.0","2017 est.","157","Europe"
"Kyrgyzstan","kyrgyzstan","29.0","2020 est.","158","Central Asia"
"Croatia","croatia","28.9","2019 est.","159","Europe"
"Timor-Leste","timor-leste","28.7","2014 est.","160","East and Southeast Asia"
"Kazakhstan","kazakhstan","27.8","2018 est.","161","Central Asia"
"Kiribati","kiribati","27.8","2019 est.","162","Australia and Oceania"
"Denmark","denmark","27.7","2019 est.","163","Europe"
"Finland","finland","27.7","2019 est.","164","Europe"
"Norway","norway","27.7","2019 est.","165","Europe"
"Algeria","algeria","27.6","2011 est.","166","Africa"
"Belgium","belgium","27.2","2019 est.","167","Europe"
"Iceland","iceland","26.1","2017 est.","168","Europe"
"Moldova","moldova","26.0","2019 est.","169","Europe"
"United Arab Emirates","united-arab-emirates","26.0","2018 est.","170","Middle East"
"Ukraine","ukraine","25.6","2020 est.","171","Europe"
"Czechia","czechia","25.3","2019 est.","172","Europe"
"Armenia","armenia","25.2","2020 est.","173","Middle East"
"Belarus","belarus","24.4","2020 est.","174","Europe"
"Slovenia","slovenia","24.4","2019 est.","175","Europe"
"Slovakia","slovakia","23.2","2019 est.","176","Europe"
"Faroe Islands","faroe-islands","22.7","2013 est.","177","Europe"
"Jersey","jersey","0.3","2014 est.","178","Europe"